epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
151,5072.13,0.56305,0.31196,1.01553,0.93635,0.93184,0.95267,0.75762,0.78205,0.45979,1.23124,0.000482955,0.000482955,0.000482955
152,5105.15,0.54782,0.32746,1.00698,0.95099,0.94533,0.96,0.76515,0.77637,0.45521,1.22854,0.000477841,0.000477841,0.000477841
153,5138.22,0.54115,0.2994,1.00119,0.95242,0.95519,0.96283,0.76522,0.7822,0.41385,1.2226,0.000472727,0.000472727,0.000472727
154,5171.27,0.55729,0.30436,1.02007,0.92873,0.94365,0.96251,0.76385,0.78462,0.45019,1.21535,0.000467614,0.000467614,0.000467614
155,5204.02,0.52744,0.29985,1.00678,0.93396,0.9483,0.95482,0.76152,0.78964,0.44335,1.22548,0.0004625,0.0004625,0.0004625
156,5237.52,0.55361,0.30294,1.01008,0.9477,0.93795,0.95373,0.76101,0.78411,0.4506,1.23038,0.000457386,0.000457386,0.000457386
157,5270.41,0.55319,0.30726,1.01254,0.93273,0.95111,0.95278,0.75581,0.79034,0.46869,1.22863,0.000452273,0.000452273,0.000452273
158,5303.48,0.537,0.30964,0.99935,0.92019,0.95402,0.95373,0.75345,0.78651,0.45862,1.23318,0.000447159,0.000447159,0.000447159
159,5335.92,0.54455,0.30139,1.01169,0.91936,0.95164,0.95797,0.76149,0.79142,0.46821,1.23148,0.000442045,0.000442045,0.000442045
160,5369.29,0.53752,0.30495,1.00033,0.93721,0.94375,0.95797,0.76433,0.78797,0.4356,1.23587,0.000436932,0.000436932,0.000436932
161,5402.8,0.54389,0.30577,1.01489,0.94372,0.92757,0.94889,0.75883,0.78876,0.44,1.2263,0.000431818,0.000431818,0.000431818
162,5436.39,0.54096,0.29865,1.0037,0.92337,0.95092,0.95411,0.75678,0.79815,0.45662,1.23608,0.000426705,0.000426705,0.000426705
163,5469.46,0.52111,0.29763,0.99984,0.92135,0.95141,0.94866,0.74799,0.78653,0.45619,1.22535,0.000421591,0.000421591,0.000421591
164,5503.12,0.53886,0.30117,1.00716,0.93839,0.93656,0.94781,0.74744,0.78789,0.45018,1.23296,0.000416477,0.000416477,0.000416477
165,5536.04,0.52507,0.2933,1.0028,0.92809,0.95263,0.95882,0.7628,0.78893,0.43508,1.24262,0.000411364,0.000411364,0.000411364
166,5568.57,0.5271,0.29307,0.9985,0.92388,0.9569,0.94836,0.75838,0.7821,0.43495,1.22881,0.00040625,0.00040625,0.00040625
167,5601.73,0.53278,0.29884,1.00131,0.93694,0.93783,0.94679,0.7543,0.79917,0.45445,1.24557,0.000401136,0.000401136,0.000401136
168,5634.88,0.53974,0.29994,1.01175,0.94448,0.94209,0.95126,0.75631,0.79313,0.46007,1.25006,0.000396023,0.000396023,0.000396023
169,5668.07,0.52799,0.29809,1.00078,0.9368,0.93828,0.94933,0.75603,0.79891,0.47099,1.24663,0.000390909,0.000390909,0.000390909
170,5700.95,0.53529,0.29626,1.01041,0.93752,0.94294,0.95067,0.75794,0.78647,0.45385,1.22344,0.000385795,0.000385795,0.000385795
171,5734.17,0.5312,0.29992,1.00246,0.93878,0.95376,0.95137,0.76402,0.78542,0.43381,1.23181,0.000380682,0.000380682,0.000380682
172,5767.53,0.51299,0.29072,0.99953,0.93402,0.93674,0.95702,0.75958,0.78806,0.44985,1.23039,0.000375568,0.000375568,0.000375568
173,5800.44,0.52381,0.29197,1.00013,0.93507,0.94038,0.95818,0.76527,0.77774,0.43823,1.21947,0.000370455,0.000370455,0.000370455
174,5833.51,0.51558,0.288,1.00095,0.94723,0.93553,0.96119,0.76066,0.7889,0.43931,1.23623,0.000365341,0.000365341,0.000365341
175,5866.54,0.53174,0.28954,1.00403,0.9404,0.95302,0.9609,0.7557,0.78766,0.41759,1.22953,0.000360227,0.000360227,0.000360227
176,5900.06,0.51278,0.28564,0.99215,0.90578,0.96213,0.9617,0.76051,0.79236,0.43879,1.23442,0.000355114,0.000355114,0.000355114
177,5932.73,0.51404,0.28306,1.00441,0.92956,0.95125,0.96339,0.76523,0.78271,0.44233,1.22809,0.00035,0.00035,0.00035
178,5966.31,0.53132,0.28661,0.99691,0.93165,0.95887,0.96092,0.76251,0.79785,0.42999,1.23739,0.000344886,0.000344886,0.000344886
179,5999.31,0.48931,0.27657,0.98195,0.94334,0.93623,0.95911,0.76639,0.79458,0.43433,1.23832,0.000339773,0.000339773,0.000339773
