epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
103,14599.1,0.6747,0.38364,0.99948,0.9651,0.92722,0.96685,0.80003,0.75251,0.37374,1.10189,0.0079804,0.0079804,0.0079804
104,14706.3,0.67861,0.38483,0.99934,0.94791,0.94241,0.96587,0.80355,0.7445,0.36984,1.10253,0.0079606,0.0079606,0.0079606
105,14811.2,0.68153,0.39076,1.00613,0.94081,0.94769,0.96495,0.80084,0.75228,0.37604,1.09321,0.0079408,0.0079408,0.0079408
106,14921.2,0.68023,0.39217,1.00593,0.94268,0.95234,0.96617,0.80849,0.75091,0.36451,1.0911,0.007921,0.007921,0.007921
107,15024.2,0.67834,0.38686,0.9999,0.96544,0.92194,0.96595,0.80808,0.74091,0.36955,1.08199,0.0079012,0.0079012,0.0079012
108,15135.7,0.67882,0.38625,1.00107,0.97065,0.9208,0.96359,0.80105,0.74321,0.37475,1.0836,0.0078814,0.0078814,0.0078814
109,15246.1,0.6745,0.38192,1.0045,0.94665,0.95441,0.96697,0.80642,0.74794,0.37137,1.09144,0.0078616,0.0078616,0.0078616
110,15353.6,0.67382,0.389,0.99854,0.95794,0.93239,0.96163,0.80546,0.74706,0.37597,1.0953,0.0078418,0.0078418,0.0078418
111,15460.1,0.67629,0.38902,1.00401,0.95358,0.94102,0.96505,0.80981,0.74173,0.37604,1.0949,0.007822,0.007822,0.007822
112,15569.1,0.65853,0.38101,0.99215,0.95958,0.93836,0.96778,0.80291,0.74497,0.37544,1.10009,0.0078022,0.0078022,0.0078022
113,15680.4,0.66671,0.37806,0.9915,0.94823,0.94147,0.96743,0.80416,0.7401,0.36504,1.092,0.0077824,0.0077824,0.0077824
114,15790.5,0.65947,0.38384,0.99677,0.95419,0.94266,0.96869,0.80383,0.74935,0.36174,1.09574,0.0077626,0.0077626,0.0077626
115,15896.6,0.66698,0.38421,0.99363,0.96965,0.92763,0.97004,0.80665,0.74817,0.36141,1.10191,0.0077428,0.0077428,0.0077428
116,16001.1,0.66034,0.38288,0.99018,0.96465,0.9361,0.9668,0.80305,0.74051,0.35427,1.0922,0.007723,0.007723,0.007723
117,16108.8,0.6656,0.38681,0.99769,0.9588,0.94004,0.96696,0.80752,0.74197,0.35501,1.09093,0.0077032,0.0077032,0.0077032
118,16219.7,0.65872,0.39104,0.99532,0.96976,0.9303,0.96883,0.80369,0.74173,0.35253,1.09378,0.0076834,0.0076834,0.0076834
119,16332.8,0.66437,0.38032,0.99424,0.97303,0.92317,0.96711,0.80838,0.73654,0.35848,1.09158,0.0076636,0.0076636,0.0076636
120,16445.1,0.66446,0.38766,0.99742,0.97322,0.9236,0.96949,0.80825,0.74105,0.35468,1.09547,0.0076438,0.0076438,0.0076438
121,16542.5,0.66071,0.37838,0.99401,0.9421,0.95442,0.96818,0.80818,0.73962,0.35685,1.09139,0.007624,0.007624,0.007624
122,16648.5,0.67253,0.37948,0.99746,0.94411,0.95086,0.96516,0.8061,0.73842,0.36846,1.08508,0.0076042,0.0076042,0.0076042
123,16746.7,0.65646,0.38894,0.99662,0.94517,0.95256,0.96632,0.80649,0.74286,0.37669,1.09244,0.0075844,0.0075844,0.0075844
124,16848.9,0.65825,0.37571,0.99009,0.93934,0.95081,0.9664,0.80715,0.74344,0.37156,1.09294,0.0075646,0.0075646,0.0075646
125,16956.7,0.64787,0.37157,0.98723,0.97021,0.92731,0.96911,0.80938,0.74497,0.36485,1.09264,0.0075448,0.0075448,0.0075448
126,17066.9,0.66345,0.39465,1.00075,0.96756,0.92877,0.96806,0.80558,0.74632,0.36579,1.09515,0.007525,0.007525,0.007525
127,17178.5,0.65644,0.3704,0.99541,0.96657,0.92321,0.96533,0.80336,0.7501,0.36478,1.09992,0.0075052,0.0075052,0.0075052
